,Unnamed: 0,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews,price
0,0,5,Spark 10 Pro ,6.8,8.0,128.0,50MP + 2MP + 32MP,2,5000.0,43%,4.4,Minestar,86%,1002,No reviews,3884578.0
1,1,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,22%,4.7,Tech Traders,86%,722,"[ (5 out of 5) GOOD ], [ (5 out of 5) I like it ], [ (5 out of 5) Like it! ], [ (5 out of 5) phone ], [ (5 out of 5) I love it ], [ (5 out of 5) Awesome! ], [ (4 out of 5) The Phone is great. ], [ (5 out of 5) I like it. ], [ (4 out of 5) Nice camera! However, put up 50MP main camera ], [ (4 out of 5) Like it so far! ]",3159050.0
2,2,4,Redmi A2 ,6.52,3.0,64.0,8MP + 5MP,2,5000.0,28%,3.8,Xiaomi Ecco World - AC,80%,36,"[ (5 out of 5) I like it ], [ (4 out of 5) I like it ], [ (4 out of 5) I like it ], [ (4 out of 5) fare perfomance ], [ (1 out of 5) not worthy ], [ (2 out of 5) Slow Charging ], [ (5 out of 5) redmi A2+ ]",2406188.2
3,3,5,Spark 10C ,6.6,4.0,128.0,16MP + 8MP,2,5000.0,35%,4.8,Minestar,86%,1002,"[ (5 out of 5) It's a good product ], [ (4 out of 5) smart watch  ], [ (5 out of 5) Cool ], [ (5 out of 5) product and service delivery ], [ (5 out of 5) I like it ], [ (5 out of 5) Very nice!! ], [ (5 out of 5) Techno spark 10 ]",3379336.2
4,4,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,27%,4.3,Tech Traders,86%,722,"[ (5 out of 5) I like it ], [ (5 out of 5) Good Product ], [ (5 out of 5) I love it ], [ (4 out of 5) I like it ], [ (4 out of 5) Like it ], [ (4 out of 5) Good ], [ (5 out of 5) I like it ], [ (5 out of 5) Battery  ], [ (5 out of 5) I love it ], [ (5 out of 5) battery health. ]",2282980.2
5,5,4,Redmi A2 ,6.52,2.0,32.0,8MP + 5MP,2,5000.0,20%,4.3,XIAOMI KE,100%,9268,"[ (5 out of 5) I lovei it ], [ (5 out of 5) smartphone ], [ (4 out of 5) She likes it. ], [ (5 out of 5) XIAOMI Redmi A2+ ], [ (5 out of 5) Perfect one ], [ (5 out of 5) I like it ], [ (4 out of 5) redmi A2 + ], [ (5 out of 5) I like it ]",2274430.2
6,6,3,F9 ,6.52,4.0,64.0,3.0MP + 2.0MP + 8.0MP,2,5000.0,42%,4.6,FreeYond-COD,86%,443,"[ (5 out of 5) I love the phone ], [ (5 out of 5) i love it ], [ (5 out of 5) well deliverd ], [ (4 out of 5) works well ], [ (4 out of 5) Not bad ], [ (5 out of 5) power ], [ (5 out of 5) good ], [ (5 out of 5) internet ], [ (5 out of 5) i like it ], [ (5 out of 5) true ]",2683895.2
7,7,1,MAX 80 Plus ,6.52,2.0,16.0,5MP + 8MP,2,5075.0,0,4.1,Modern Electronics,80%,18,No reviews,1425999.8
8,8,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,24%,4.5,Tech Traders,86%,722,"[ (5 out of 5) camera ], [ (3 out of 5) Like it ], [ (5 out of 5) i love it ], [ (4 out of 5) I like it ], [ (4 out of 5) nice ], [ (5 out of 5) Excellent ], [ (5 out of 5) got what i ordered ], [ (4 out of 5) i liked it ], [ (5 out of 5) ???????? ], [ (5 out of 5) CONVINIENCY ]",2282980.2
9,9,3,M5 ,6.52,8.0,128.0,50MP + 8.0MP + 2.0MP,2,5000.0,35%,4.1,FreeYond-COD,86%,443,"[ (1 out of 5) product specification ], [ (5 out of 5) I love it ], [ (5 out of 5) Perfect. ], [ (5 out of 5) I like it ], [ (5 out of 5) Love it ], [ (5 out of 5) A good phone with that price ], [ (3 out of 5) Just an okay phone ], [ (2 out of 5) I don't like it ], [ (5 out of 5) Excellent ], [ (1 out of 5) poor network ]",3474065.2
10,10,5,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,2,5000.0,19%,4.4,Premium Phones-,100%,407,"[ (5 out of 5) I love it ], [ (5 out of 5) I like it ], [ (5 out of 5) I like it ], [ (4 out of 5) Very good ], [ (5 out of 5) A good device ], [ (4 out of 5) rate ], [ (5 out of 5) good phone ], [ (2 out of 5) good ], [ (4 out of 5) great ], [ (5 out of 5) Tecno Pop 7 ]",2030862.1
11,11,5,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,2,5000.0,11%,4.4,Premium Phones-,100%,407,"[ (4 out of 5) Delivery process excellent ], [ (5 out of 5) i loved  it ], [ (4 out of 5) As described ], [ (4 out of 5) Nice phone ], [ (5 out of 5) Awesome one  ], [ (3 out of 5) Poor camera ], [ (5 out of 5) quality ]",2030862.1
12,12,2,Hot 30i ,6.56,4.0,128.0,13MP + 8MP,2,5000.0,29%,4.4,Tech Traders,86%,722,"[ (5 out of 5) Infinix hot30i ], [ (1 out of 5) Really poor phone ], [ (5 out of 5) I like it ], [ (5 out of 5) I like it ], [ (5 out of 5) Decent ], [ (5 out of 5) original ], [ (5 out of 5) i liked it ], [ (5 out of 5) Love it ], [ (4 out of 5) I like it ], [ (5 out of 5) BEST BUDGET ]",2714886.2
13,13,4,Redmi A2 ,6.52,2.0,32.0,8MP + 5MP,2,5000.0,23%,4.7,XIAOMI KE,100%,9268,"[ (5 out of 5) Fast, efficient and easier to operate. ], [ (5 out of 5) Loved it ], [ (5 out of 5) performance ], [ (5 out of 5) its the best ], [ (5 out of 5) I like it. ], [ (5 out of 5) Perfect! ], [ (5 out of 5) I like it. ], [ (5 out of 5) I love it ], [ (5 out of 5) I love it ], [ (5 out of 5) love  ]",2274430.2
14,14,5,Pop 7 Pro ,6.6,4.0,64.0,13MP + 5MP,2,5000.0,17%,4.7,Premium Phones-,100%,407,[ (5 out of 5) Good  ],2367477.5
15,15,9,P Smart ,6.21,6.0,128.0,13MP + 2MP + 8MP,2,0.0,44%,0.0,3C Market-COD,60%,22,No reviews,5202026.5
16,16,5,Spark 10C ,6.6,4.0,128.0,16MP + 8MP,2,5000.0,18%,4.1,Premium Phones-,100%,407,"[ (5 out of 5) spark 10c ], [ (4 out of 5) product arrived in good condition ], [ (2 out of 5) Camera so poor ], [ (5 out of 5) very nice phone ], [ (5 out of 5) I like it ], [ (4 out of 5) Great ], [ (5 out of 5) PERFOMANCE ], [ (5 out of 5) Efficiency ], [ (5 out of 5) a good good ], [ (5 out of 5) Good specs ]",3379336.2
17,17,2,Hot 30i ,6.6,8.0,128.0,13MP + 8MP,2,5000.0,13%,4.6,Tech Traders,86%,722,"[ (5 out of 5) I like it 100% ], [ (5 out of 5) good best ], [ (5 out of 5) Good customer service at the pick up session ], [ (5 out of 5) Nice phone ]",3111845.2
18,18,2,Hot 30i ,6.6,12.0,128.0,13MP + 8MP,2,5000.0,1%,4.5,Kattason enterprise,94%,291,No reviews,2662547.8
19,19,3,F9 ,6.52,3.0,128.0,3.0MP + 2.0MP + 8.0MP,2,5000.0,48%,3.8,FreeYond-COD,86%,443,"[ (5 out of 5) its legit  ], [ (5 out of 5) Awesome for the money ], [ (2 out of 5) freeyond F9 ], [ (4 out of 5) I like it ], [ (3 out of 5) so far so good ], [ (4 out of 5) the phone is good but charger ni bure kabisa ]",2729876.8
20,20,4,Redmi 12 ,6.79,8.0,128.0,50MP + 8MP + 2MP + 8MP,2,5000.0,17%,5.0,XIAOMI KE,100%,9268,No reviews,3662656.5
21,21,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,27%,4.0,Tech Traders,86%,722,No reviews,2282980.2
22,22,7,C1 2nd Edition ,5.45,1.0,16.0,5MP + 5MP,2,0.0,34%,4.1,Kattason enterprise,94%,291,No reviews,1673519.9
23,23,4,Redmi Note 12 ,6.67,6.0,128.0,50MP + 8MP + 2MP,2,0.0,22%,4.6,XIAOMI KE,100%,9268,"[ (5 out of 5) like it ], [ (5 out of 5) Excellent phone ], [ (5 out of 5) best phone best price ], [ (5 out of 5) Features ], [ (5 out of 5) Its perfect ], [ (5 out of 5) I love it! ]",4141928.8
24,24,4,Redmi 12 ,6.79,8.0,256.0,50MP + 8MP + 2MP + 8MP,2,5000.0,16%,0.0,XIAOMI KE,100%,9268,No reviews,4784807.5
25,25,2,Smart 7 Plus ,6.6,3.0,64.0,13MP + 5MP,2,6000.0,17%,4.2,Tech Traders,86%,722,"[ (5 out of 5) its perfect for its secs ], [ (5 out of 5) infinix smart 7 ], [ (5 out of 5) working perfectly ], [ (5 out of 5) Superb ], [ (4 out of 5) nice one ], [ (1 out of 5) OVERHEATING  ], [ (5 out of 5) I like it ], [ (4 out of 5) perfect  ], [ (5 out of 5) amazing ], [ (4 out of 5) Review ]",2145890.8
26,26,8,Galaxy A04 ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,2,5000.0,16%,4.4,Samsung Ecco World -,100%,177,"[ (5 out of 5) I like it ], [ (5 out of 5) Love it ], [ (5 out of 5) Delivery & packaging ], [ (5 out of 5) I just love this phone ], [ (5 out of 5) lovely battery life ], [ (5 out of 5) I like it ], [ (5 out of 5) I love it ], [ (5 out of 5) Best smartphone ], [ (5 out of 5) samsung Ao4 ], [ (5 out of 5) Samsung A04 ]",3048273.0
27,27,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,2,5000.0,45%,2.8,Minestar,86%,1002,[ (3 out of 5) I liked the phone ],3678840.5
28,28,8,Galaxy A14 4G ,6.6,4.0,64.0,50MP + 2MP + 2MP + 13MP,2,5000.0,33%,4.7,Samsung Ecco World -,100%,177,"[ (5 out of 5) Galaxy A14 ], [ (4 out of 5) I like it ], [ (5 out of 5) Device performance ], [ (4 out of 5) i like it ], [ (5 out of 5) Good camera ], [ (5 out of 5) i like it ], [ (5 out of 5) I love it ]",3678840.5
29,29,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,22%,4.4,Tech Traders,86%,722,"[ (5 out of 5) meets my expectations ], [ (5 out of 5) I like it ], [ (5 out of 5) I LIKE IT ], [ (3 out of 5) I like it ], [ (5 out of 5) i like it ], [ (5 out of 5) Fabulous???????? ], [ (5 out of 5) I LIKE IT ], [ (5 out of 5) great ], [ (3 out of 5) I have mixed feelings. ], [ (5 out of 5) I love it ]",3159050.0
30,30,4,Redmi Note 12S ,6.67,8.0,256.0,108MP + 8MP + 2MP + 16MP,2,0.0,18%,5.0,XIAOMI KE,100%,9268,[ (5 out of 5) I like it ],4697642.5
31,31,4,Redmi 12c ,6.71,6.0,128.0,50MP + 0.08MP + 5MP,2,5000.0,22%,5.0,Xiaomi Ecco World - AC,80%,36,[ (5 out of 5) LOVE IT ],3181504.8
32,32,5,Spark 10 ,6.6,8.0,128.0,50MP + 8MP + 50MP,2,5000.0,23%,4.5,Minestar,86%,1002,"[ (5 out of 5) nice ], [ (5 out of 5) I like it. Thank you!! ], [ (5 out of 5) wonderful  ]",3314947.8
33,33,7,C12 ,6.3,2.0,64.0,8MP + 5MP,2,3000.0,28%,4.4,Samsung Ecco World -,100%,177,"[ (4 out of 5) Good value ], [ (5 out of 5) It's modest phone ], [ (5 out of 5) Specs ]",2315309.2
34,34,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,27%,5.0,Tech Traders,86%,722,[ (5 out of 5) I like it ],2282980.2
35,35,5,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,2,5000.0,19%,4.2,Premium Phones-,100%,407,"[ (5 out of 5) I like it ], [ (5 out of 5) Great  ], [ (5 out of 5) I like it ], [ (5 out of 5) camera and space  ], [ (3 out of 5) Somewhat what I expected ], [ (5 out of 5) speed ], [ (5 out of 5) excellent ], [ (2 out of 5) exactly ], [ (5 out of 5) I love it ]",2030862.1
36,36,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,41%,4.8,Minestar,86%,1002,"[ (5 out of 5) I like the phone ], [ (5 out of 5) great phone so far ], [ (5 out of 5) I love it ]",2196155.8
37,37,2,SMART 7 PLUS Type C ,6.6,9.0,64.0,13MP,2,6000.0,1%,4.0,Tycoon enterprises,94%,305,No reviews,2480448.2
38,38,5,Spark 10C ,6.6,8.0,128.0,16MP + 8MP,2,5000.0,43%,5.0,Minestar,86%,1002,No reviews,3314947.8
39,39,8,Galaxy A04 ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,2,5000.0,36%,4.2,CELLINY COLLECTIONS,74%,967,No reviews,3048273.0
40,40,6,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,2,5000.0,35%,4.5,Minestar,86%,1002,No reviews,4246751.0
41,41,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,2,5000.0,46%,4.7,Minestar,86%,1002,No reviews,3678840.5
42,42,4,Redmi 12 ,6.79,8.0,256.0,50MP + 8MP + 2MP + 8MP,2,5000.0,16%,0.0,XIAOMI KE,100%,9268,No reviews,4784807.5
43,43,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,4%,4.4,Minestar,86%,1002,"[ (5 out of 5) Great Products ], [ (5 out of 5) I like it ], [ (5 out of 5) LOVE IT ], [ (5 out of 5) Nice phone ]",2196155.8
44,44,6,A78 ,6.43,8.0,256.0,50MP,2,0.0,3%,4.5,Gaff Electronics Kenya,94%,165,"[ (5 out of 5) Excellent phone. ], [ (5 out of 5) Nice phone. ], [ (3 out of 5) I like it ]",5455324.5
45,45,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,22%,4.4,Tech Traders,86%,722,"[ (5 out of 5) meets my expectations ], [ (5 out of 5) I like it ], [ (5 out of 5) I LIKE IT ], [ (3 out of 5) I like it ], [ (5 out of 5) i like it ], [ (5 out of 5) Fabulous???????? ], [ (5 out of 5) I LIKE IT ], [ (5 out of 5) great ], [ (3 out of 5) I have mixed feelings. ], [ (5 out of 5) I love it ]",3159050.0
46,46,5,Spark 10C ,6.6,12.0,128.0,16MP + 2MP,2,5000.0,1%,4.3,BIG VIEW,100%,68,[ (4 out of 5) I like it ],2938268.8
47,47,5,Spark 10 ,6.6,8.0,128.0,50MP + 8MP + 50MP,2,5000.0,23%,4.5,Minestar,86%,1002,"[ (5 out of 5) nice ], [ (5 out of 5) I like it. Thank you!! ], [ (5 out of 5) wonderful  ]",3314947.8
48,48,5,Spark 10 Pro ,6.8,16.0,256.0,50MP + 2MP + 32MP,2,5000.0,34%,0.0,Minestar,86%,1002,No reviews,4608557.5
49,49,8,Galaxy A04s ,6.5,4.0,128.0,50MP + 2MP + 2MP + 5MP,2,5000.0,31%,4.1,Samsung Ecco World -,100%,177,"[ (5 out of 5) Good ], [ (4 out of 5) I like it ], [ (4 out of 5) display light ], [ (2 out of 5) charging system ], [ (5 out of 5) it's features ], [ (5 out of 5) perfect ], [ (3 out of 5) samsung A04s ], [ (5 out of 5) I like it ], [ (4 out of 5) I love it ]",4849609.0
50,50,2,Note 12i ,6.82,4.0,128.0,50MP + 2MP + 2MP + 8MP,2,5000.0,23%,4.7,SmartNets Enterprises,74%,249,"[ (4 out of 5) It's alright ], [ (5 out of 5) Enjoying every bit of my Note 12i ]",3414964.2
51,51,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,30%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
52,52,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,22%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,3159050.0
53,53,8,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,2,5000.0,44%,5.0,Minestar,86%,1002,[ (5 out of 5) samsung a14 ],3678840.5
54,54,8,Galaxy S8 ,5.8,4.0,64.0,12MP + 8MP,1,0.0,38%,3.7,mzazi tech hub,54%,97,"[ (4 out of 5) perfect ], [ (5 out of 5) Samsung Galaxy s8 ], [ (4 out of 5) S8 plain ], [ (4 out of 5) I like it. ]",4041439.5
55,55,4,Redmi Note 12s ,6.43,8.0,256.0,108MP + 8MP + 2MP + 12MP,2,5000.0,1%,4.6,KM KENYA ELECTRONICS,80%,1467,No reviews,5505425.0
56,56,4,Redmi Note 12 ,6.67,4.0,128.0,50MP + 8MP + 2MP,2,0.0,25%,4.5,Minestar,86%,1002,No reviews,4276065.5
57,57,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,30%,0.0,Minestar,86%,1002,No reviews,4930356.0
58,58,2,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,2,5000.0,24%,0.0,MNI NabŘi Dealers,60%,17,No reviews,2282980.2
59,59,6,A78 4G ,6.43,8.0,256.0,50MP + 8MP,2,5000.0,13%,0.0,SmartNets Enterprises,74%,249,No reviews,6047296.5
60,60,5,Spark 10C ,6.6,4.0,128.0,16MP + 8MP,2,5000.0,33%,5.0,Minestar,86%,1002,[ (5 out of 5) i love it ],3379336.2
61,61,6,A78 4G ,6.43,16.0,256.0,50MP + 8MP,2,5000.0,32%,4.5,Minestar,86%,1002,No reviews,6222930.0
62,62,6,A78 ,6.43,8.0,256.0,50MP,2,0.0,3%,0.0,Gaff Electronics Kenya,94%,165,No reviews,5455324.5
63,63,8,Galaxy A54 5G ,6.4,8.0,256.0,50MP + 12MP + 5MP + 32MP,2,5000.0,21%,4.0,Samsung Ecco World -,100%,177,No reviews,9327044.0
64,64,12,Find 30 ,6.6,2.0,32.0,5MP + 13MP,2,4000.0,15%,2.0,Sowhat Mobiles,80%,4,[ (2 out of 5) I don't like it at all ],3809057.2
65,65,8,Galaxy A24 4G ,6.5,6.0,128.0,50MP + 5MP + 2MP + 13MP,2,5000.0,15%,4.5,t markets,98%,3,"[ (4 out of 5) I love it ], [ (4 out of 5) Quality ]",5319533.0
66,66,6,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,2,5000.0,29%,5.0,Minestar,86%,1002,[ (5 out of 5) I adore it ],4246751.0
67,67,8,Galaxy M14 5G ,6.6,6.0,128.0,50MP + 2MP + 2MP + 13MP,2,6000.0,25%,3.0,KM KENYA ELECTRONICS,80%,1467,No reviews,5197140.0
68,68,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,28%,5.0,SmartNets Enterprises,74%,249,[ (5 out of 5) Good ],4930356.0
69,69,2,Note 30 4G ,6.66,8.0,256.0,64MP + 16MP,2,5000.0,28%,4.5,Tech Traders,86%,722,[ (4 out of 5) I live it ],4693253.5
70,70,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,29%,4.5,Minestar,86%,1002,No reviews,4930356.0
71,71,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,5%,4.1,Minestar,86%,1002,No reviews,2196155.8
72,72,6,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,2,0.0,17%,5.0,Amira Store,100%,219,No reviews,3841485.2
73,73,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,29%,5.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
74,74,8,Galaxy A14 4G ,6.6,4.0,64.0,50MP + 2MP + 2MP + 13MP,2,5000.0,28%,0.0,Samsung Ecco World -,100%,177,No reviews,3678840.5
75,75,8,Galaxy A04 ,6.5,4.0,64.0,5MP,2,5000.0,20%,0.0,Samsung Ecco World -,100%,177,No reviews,3048273.0
76,76,5,Spark 10C ,6.6,8.0,128.0,16MP + 2MP,2,5000.0,33%,4.0,Minestar,86%,1002,No reviews,3314947.8
77,77,8,Galaxy A14 ,6.6,4.0,128.0,50MP + 2MP + 2MP + 13MP,2,5000.0,43%,0.0,Sysnex,86%,27,No reviews,3388018.2
78,78,2,Smart 7 HD ,6.6,6.0,64.0,8MP + 5MP,2,5000.0,17%,3.9,BIG VIEW,100%,68,No reviews,2899118.2
79,79,5,CAMON 20 Pro ,6.67,8.0,256.0,32MP + 64MP,2,5000.0,10%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,4930356.0
80,80,11,C55 ,6.72,8.0,256.0,64MP,2,5000.0,10%,5.0,CELLINY COLLECTIONS,74%,967,[ (5 out of 5) I like it ],6369917.0
81,81,7,C32 ,6.5,7.0,64.0,50MP + 2MP + 8MP,2,0.0,8%,0.0,Minestar,86%,1002,No reviews,2987311.0
82,82,4,Redmi A2 ,6.52,3.0,64.0,8MP + 5MP,2,5000.0,16%,0.0,XIAOMI KE,100%,9268,No reviews,2406188.2
83,83,8,Galaxy A24 4G ,6.5,6.0,128.0,50MP + 5MP + 2MP + 13MP,2,5000.0,0,4.0,Iconcept mobile,94%,103,No reviews,5319533.0
84,84,12,Find 40 ,6.6,2.0,32.0,5MP + 13MP,2,4000.0,23%,1.0,Sowhat Mobiles,80%,4,[ (1 out of 5) Disappointed with the return process ],3809057.2
85,85,6,A17K ,6.56,3.0,64.0,8MP + 2MP + 5MP,2,5000.0,15%,5.0,Minestar,86%,1002,No reviews,2745075.2
86,86,8,Galaxy A04 ,6.5,4.0,64.0,5MP,2,5000.0,20%,0.0,Samsung Ecco World -,100%,177,No reviews,3048273.0
87,87,8,Galaxy A23 ,6.6,8.0,128.0,50MP + 5MP + 2MP + 2MP + 8MP,2,5000.0,15%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,5084749.0
88,88,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,5%,4.5,Minestar,86%,1002,No reviews,2196155.8
89,89,6,A17K ,6.56,3.0,64.0,8MP + 2MP + 5MP,2,5000.0,17%,4.5,Minestar,86%,1002,No reviews,2745075.2
90,90,8,Galaxy F14 5G ,6.6,6.0,128.0,13MP + 50MP + 2MP + 2MP,2,6000.0,23%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5197140.0
91,91,8,Galaxy A14 4G ,6.6,4.0,128.0,50MP + 2MP + 2MP + 13MP,2,5000.0,1%,0.0,Kattason enterprise,94%,291,No reviews,3388018.2
92,92,2,SMART 7 PLUS Type C ,6.6,9.0,64.0,13MP,2,6000.0,1%,4.2,Tycoon enterprises,94%,305,No reviews,2480448.2
93,93,5,Spark 10 ,6.6,8.0,128.0,50MP + 8MP + 50MP,2,5000.0,24%,0.0,Minestar,86%,1002,No reviews,3314947.8
94,94,6,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,2,5000.0,33%,0.0,Minestar,86%,1002,No reviews,4246751.0
95,95,1,MAX 30s ,6.55,1.0,8.0,8MP + 5MP,2,3750.0,13%,0.0,Modern Smartphones,86%,24,No reviews,1400921.9
96,96,6,Reno 10 5G ,6.7,8.0,256.0,64MP + 32MP + 8MP + 32MP,2,5000.0,32%,0.0,Minestar,86%,1002,No reviews,8531926.0
97,97,4,Redmi Note 12 Pro ,6.67,8.0,128.0,108MP + 8MP + 2MP + 2MP + 16MP,2,5000.0,22%,5.0,KM KENYA ELECTRONICS,80%,1467,"[ (5 out of 5) Very fast ,good camera. Just the best. ]",5792015.5
98,98,11,C55 ,6.72,8.0,256.0,64MP,2,5000.0,26%,0.0,Minestar,86%,1002,No reviews,6369917.0
99,99,8,Galaxy A14 4G ,6.6,4.0,128.0,50MP + 2MP + 2MP + 13MP,2,5000.0,33%,5.0,Avenue Phones,100%,696,No reviews,3388018.2
100,100,5,Spark 10C ,6.6,8.0,128.0,16MP + 2MP,2,5000.0,33%,4.0,Minestar,86%,1002,No reviews,3314947.8
101,101,5,CAMON 20 Pro 4G Mr Doodle Edition ,6.67,16.0,256.0,32MP + 64MP + 2MP,2,5000.0,29%,0.0,Minestar,86%,1002,No reviews,5626452.0
102,102,5,Spark 10 Pro ,6.8,8.0,128.0,32MP,2,5000.0,26%,5.0,Premium Phones-,100%,407,No reviews,3884578.0
103,103,1,MAX80 Plus ,6.52,2.0,16.0,5MP + 8MP,2,5075.0,22%,3.8,Modern Electronics,80%,18,No reviews,1425999.8
104,104,5,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,2,5000.0,8%,4.3,Sammark Communication,94%,1254,"[ (3 out of 5) I love it ], [ (4 out of 5) The phone is good ], [ (1 out of 5) Don't like ..... ], [ (4 out of 5) I LIKE IT ], [ (5 out of 5) Like it ]",2030862.1
105,105,4,Redmi Note 12 ,6.67,4.0,128.0,50MP + 8MP + 2MP + 13MP,2,5000.0,36%,4.3,KM KENYA ELECTRONICS,80%,1467,No reviews,4297107.5
106,106,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,43%,4.3,Minestar,86%,1002,"[ (5 out of 5) i like it ], [ (2 out of 5) i dont like it ], [ (5 out of 5) Good ], [ (3 out of 5) Samsung galaxy A03 Core ], [ (1 out of 5) Deceptive advertising! ], [ (5 out of 5) All good. ]",2196155.8
107,107,5,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,2,5000.0,8%,5.0,Sammark Communication,94%,1254,[ (5 out of 5) absolutely fantastic ],2030862.1
108,108,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,22%,3.5,CELLINY COLLECTIONS,74%,967,"[ (1 out of 5) Wrong item shipped ], [ (5 out of 5) I like your items so much ]",3159050.0
109,109,8,Galaxy A23 ,6.6,4.0,128.0,50MP + 5MP + 2MP + 2MP + 50MP + 5MP + 2MP + 2MP + 8MP,2,0.0,0,0.0,midland electronics,100%,18,No reviews,2391760.8
110,110,2,Smart 7 Plus ,6.6,3.0,64.0,13MP + 5MP,2,6000.0,17%,4.3,Tech Traders,86%,722,"[ (4 out of 5) I like it ???? ], [ (4 out of 5) i like it ], [ (5 out of 5) I like it ], [ (5 out of 5) I like it ], [ (5 out of 5) Great deal mommy now enjoying my gift ], [ (5 out of 5) i love it ], [ (5 out of 5) Infinix smart 7 Plus ], [ (5 out of 5) Just as odered ]",2145890.8
111,111,8,Galaxy NOTE 10 ,6.8,12.0,256.0,12MP + 12MP + 16MP + 10MP,1,0.0,20%,5.0,The Sleek Gadgets,66%,27,No reviews,15632771.0
112,112,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,6%,4.6,Minestar,86%,1002,"[ (5 out of 5) I like it ], [ (5 out of 5) It's good ], [ (4 out of 5) samsung galaxy A03 ], [ (4 out of 5) I like it ], [ (5 out of 5) I like it ], [ (5 out of 5) Beyond my expectations it was. ], [ (5 out of 5) Phone works well. The airpods don't work well ], [ (5 out of 5) Samsung GalaxyA03 core ], [ (5 out of 5) Good ], [ (5 out of 5) Awesome ]",2196155.8
113,113,8,Galaxy S21 5G ,6.2,8.0,128.0,64MP + 12MP + 12MP + 10MP,1,0.0,20%,0.0,The Sleek Gadgets,66%,27,No reviews,7386531.0
114,114,2,Hot 30i ,6.6,4.0,128.0,13MP + 8MP,2,5000.0,12%,5.0,Superfly,74%,284,[ (5 out of 5) Best of the best ],2751081.5
115,115,8,Galaxy A34 5G ,6.6,6.0,128.0,48MP + 8MP + 5MP + 13MP,2,5000.0,14%,0.0,Superfly,74%,284,No reviews,5483893.5
116,116,6,A98 5G ,6.72,8.0,256.0,64MP + 2MP + 2MP + 32MP,2,5000.0,12%,0.0,Superfly,74%,284,No reviews,6659777.5
117,117,6,A17 ,6.56,4.0,64.0,50MP + 5MP,2,0.0,31%,0.0,NGALA STORE,94%,123,No reviews,3924825.8
118,118,5,POP 7 Pro ,6.6,11.0,64.0,5MP + 13MP,2,0.0,30%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,2393299.8
119,119,5,Spark 10 Pro ,6.8,8.0,256.0,50MP + 2MP + 32MP,2,5000.0,38%,5.0,Minestar,86%,1002,[ (5 out of 5) Good ],4648022.0
