,Unnamed: 0,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews,price
252,252,5,Pop 6 ,6.1,2.0,32.0,5MP + 5MP,2,5000.0,3%,0.0,Little Angels,40%,1014,No reviews,2825615.2
253,253,8,Galaxy A24 4G ,6.5,4.0,128.0,50MP + 5MP + 2MP + 13MP,2,5000.0,20%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,4849609.0
254,254,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,25%,0.0,SmartNets Enterprises,74%,249,No reviews,5513320.0
255,255,8,Galaxy M33 5G ,6.6,6.0,128.0,50MP + 5MP + 2MP + 2MP + 8MP,2,6000.0,10%,0.0,NOVA PHONES,80%,1277,No reviews,5197140.0
256,256,2,NOTE 30 VIP ,6.67,8.0,256.0,109MP + 2MP,2,0.0,1%,0.0,SmartNets Enterprises,74%,249,No reviews,6556829.0
257,257,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,23%,0.0,SmartNets Enterprises,74%,249,No reviews,5513320.0
258,258,10,Y36 ,6.64,8.0,128.0,50MP + 2MP + 16MP,2,5000.0,24%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6740482.0
259,259,7,C1 2nd Edition ,5.45,1.0,16.0,5MP + 5MP,2,0.0,25%,0.0,Minestar,86%,1002,No reviews,1673519.9
260,260,8,Galaxy A04s ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,2,5000.0,1%,0.0,t markets,98%,3,No reviews,3048273.0
261,261,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,29%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
262,262,4,Redmi 10A ,6.53,4.0,128.0,13MP + 5MP,2,5000.0,1%,0.0,Superfly,74%,284,No reviews,2925276.0
263,263,6,A78 4G ,6.43,8.0,256.0,50MP + 8MP,2,5000.0,30%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,6047296.5
264,264,6,A18 ,6.56,4.0,128.0,8MP + 2MP + 5MP,2,5000.0,31%,0.0,SmartNets Enterprises,74%,249,No reviews,3473607.8
265,265,4,Redmi A2 ,6.52,2.0,32.0,8MP + 5MP,2,5000.0,26%,0.0,MNI NabŘi Dealers,60%,17,No reviews,2274430.2
266,266,8,Galaxy F23 5G ,6.6,6.0,128.0,50MP + 8MP + 2MP + 8MP,2,5000.0,10%,4.0,Superfly,74%,284,[ (4 out of 5) latest mobile ],5483893.5
267,267,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,19%,5.0,Minestar,86%,1002,No reviews,5513320.0
268,268,5,Spark 10 Pro ,6.8,8.0,128.0,50MP + 2MP + 32MP,2,5000.0,16%,4.0,Superfly,74%,284,No reviews,3884578.0
269,269,11,C33 ,6.5,4.0,128.0,50MP + 5MP,2,5000.0,18%,0.0,Minestar,86%,1002,No reviews,5513320.0
270,270,5,Spark 10C ,6.6,8.0,128.0,16MP + 2MP,2,5000.0,41%,0.0,Minestar,86%,1002,No reviews,3314947.8
271,271,5,Spark 10 Pro ,6.8,8.0,256.0,50MP + 32MP,2,5000.0,33%,5.0,Kingsly,74%,287,[ (5 out of 5) storage ],4648022.0
272,272,6,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,2,5000.0,36%,0.0,Minestar,86%,1002,No reviews,4246751.0
273,273,4,Redmi Note 12 ,6.67,8.0,128.0,50MP + 8MP + 2MP,2,0.0,21%,4.0,SmartNets Enterprises,74%,249,No reviews,5394574.0
274,274,7,C12 ,6.3,2.0,64.0,8MP + 5MP,2,3000.0,21%,0.0,SmartNets Enterprises,74%,249,No reviews,2315309.2
275,275,8,Galaxy F04 ,6.5,4.0,64.0,13MP + 2MP + 5MP,2,5000.0,43%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews,3048273.0
276,276,7,C1 2nd Edition ,5.45,1.0,16.0,5MP + 5MP,2,0.0,25%,0.0,Minestar,86%,1002,No reviews,1673519.9
277,277,6,A98 5G ,6.72,8.0,256.0,64MP + 2MP + 2MP + 32MP,2,5000.0,13%,0.0,Amira Store,100%,219,No reviews,6659777.5
278,278,6,A98 5G ,6.72,8.0,256.0,64MP + 2MP + 2MP + 32MP,2,5000.0,30%,0.0,Minestar,86%,1002,No reviews,6659777.5
279,279,5,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,2,5000.0,29%,0.0,SmartNets Enterprises,74%,249,No reviews,4930356.0
280,280,4,Redmi 10A ,6.53,4.0,128.0,13MP + 5MP,2,5000.0,1%,0.0,Superfly,74%,284,No reviews,2925276.0
281,281,6,A18 ,6.56,4.0,128.0,8MP + 2MP + 5MP,2,5000.0,20%,0.0,Kingsly,74%,287,No reviews,3473607.8
282,282,5,Spark 10C ,6.6,4.0,128.0,16MP + 2MP,2,5000.0,30%,0.0,Marcus shop,94%,15,No reviews,3379336.2
283,283,5,Spark 10c ,6.6,12.0,128.0,16MP + 8MP,2,5000.0,44%,5.0,KM KENYA ELECTRONICS,80%,1467,No reviews,2938268.8
284,284,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,32%,3.7,Little Angels,40%,1014,[ (5 out of 5) I like it ],2196155.8
285,285,7,C32 ,6.5,11.0,64.0,50MP + 2MP + 8MP,2,0.0,9%,0.0,Minestar,86%,1002,No reviews,2910302.8
286,286,7,C1 2nd Edition ,5.45,1.0,16.0,5MP + 5MP,2,0.0,28%,0.0,Superfly,74%,284,No reviews,1673519.9
287,287,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,22%,3.0,CELLINY COLLECTIONS,74%,967,No reviews,3159050.0
288,288,11,C55 ,6.72,8.0,256.0,64MP,2,5000.0,25%,5.0,Minestar,86%,1002,No reviews,6369917.0
289,289,8,Galaxy S10 Plus Renewed ,6.4,8.0,128.0,76MP + 12MP + 12MP + 16MP + 10MP + 8MP,1,4100.0,0,0.0,Badili Phones,66%,110,No reviews,4463324.0
290,290,6,F11 Renewed ,6.5,6.0,64.0,72MP + 48MP + 5MP + 16MP,2,4020.0,0,0.0,Badili Phones,66%,110,No reviews,2711803.8
291,291,4,Redmi 12 ,6.79,4.0,128.0,50MP + 8MP + 2MP + 8MP,2,5000.0,27%,0.0,SmartNets Enterprises,74%,249,No reviews,3575979.5
292,292,5,Spark 10 ,6.6,16.0,128.0,50MP + 8MP + 50MP,2,5000.0,23%,0.0,Minestar,86%,1002,No reviews,3224804.0
293,293,8,Galaxy A04s ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,2,5000.0,19%,0.0,Minestar,86%,1002,No reviews,3048273.0
294,294,2,NOTE 30 ,6.66,8.0,256.0,64MP + 2MP,2,0.0,47%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5456417.0
295,295,4,Redmi A2 ,6.52,3.0,64.0,8MP + 5MP,2,5000.0,20%,0.0,SmartNets Enterprises,74%,249,No reviews,2406188.2
296,296,5,Spark 9PRO ,6.6,4.0,128.0,50MP + 32MP,2,5000.0,43%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,3379336.2
297,297,8,Galaxy A04e ,6.5,3.0,32.0,13MP + 2MP + 5MP,2,0.0,29%,0.0,Minestar,86%,1002,No reviews,2630783.5
298,298,2,NOTE 30 ,6.66,8.0,256.0,64MP + 2MP,2,0.0,38%,0.0,SmartNets Enterprises,74%,249,No reviews,5456417.0
299,299,8,Galaxy A24 4G ,6.5,6.0,128.0,50MP + 5MP + 2MP + 13MP,2,5000.0,22%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,5319533.0
300,300,8,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,2,5000.0,23%,4.0,KM KENYA ELECTRONICS,80%,1467,"[ (2 out of 5) Network poor. I hate it ], [ (5 out of 5) Good one ], [ (5 out of 5) Love it! ], [ (3 out of 5) I like it ]",2196155.8
301,301,7,C12 ,6.3,2.0,64.0,8MP + 5MP,2,3000.0,2%,0.0,Superfly,74%,284,No reviews,2315309.2
302,302,2,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,2,6000.0,22%,0.0,CELLINY COLLECTIONS,74%,967,No reviews,3159050.0
